Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),,,,,
253,0.04,0.04,0.03,0.0388,-0.0162,-1.0058,0,0,0,,,,,
255,0.04,0.04,0.04,0.0386,-0.0163,-1.0057,0,0,0,,,,,
257,0.04,0.04,0.04,0.0385,-0.0163,-1.0058,0,0,0,,,,,
259,0.05,0.04,0.03,0.0386,-0.0164,-1.0058,0,0,0,,,,,
261,0.05,0.04,0.04,0.0386,-0.0164,-1.0057,0,0,0,,,,,
263,0.06,0.04,0.04,0.0385,-0.0166,-1.0059,0,0,0,,,,,
265,0.07,0.04,0.04,0.0383,-0.0166,-1.0058,0,0,0,,,,,
267,0.07,0.04,0.04,0.0382,-0.0167,-1.0058,0,0,0,,,,,
269,0.07,0.04,0.03,0.0382,-0.0167,-1.0059,0,0,0,,,,,
271,0.07,0.04,0.02,0.0382,-0.0167,-1.006,0,0,0,,,,,
273,0.07,0.04,0.02,0.0383,-0.0168,-1.006,0,0,0,,,,,
275,0.07,0.04,0.02,0.0383,-0.017,-1.0062,0,0,0,,,,,
277,0.07,0.04,0.02,0.0382,-0.0172,-1.0065,0,0,0,,,,,
279,0.07,0.04,0.02,0.0382,-0.0173,-1.0066,0,0,0,,,,,
282,0.07,0.03,0.02,0.0383,-0.0173,-1.0068,0,0,0,,,,,
285,0.07,0.02,0.02,0.0384,-0.0174,-1.0065,0,0,0,,,,,
287,0.07,0.02,0.01,0.0388,-0.0173,-1.0067,0,0,0,,,,,
289,0.06,0.02,0.01,0.039,-0.0173,-1.0066,0,0,0,,,,,
291,0.06,0.01,0.01,0.0392,-0.0172,-1.0067,0,0,0,,,,,
293,0.06,0,0.01,0.0393,-0.0172,-1.0068,0,0,0,,,,,
295,0.06,0,0.01,0.0393,-0.0171,-1.0069,0,0,0,,,,,
297,0.06,-0.01,0.01,0.0394,-0.0171,-1.0071,0,0,0,,,,,
299,0.06,-0.02,0.01,0.0394,-0.0171,-1.0073,0,0,0,,,,,
301,0.07,-0.03,0.01,0.0394,-0.017,-1.0074,0,0,0,,,,,
303,0.07,-0.04,0.01,0.0394,-0.017,-1.0073,0,0,0,,,,,
305,0.07,-0.04,0,0.0394,-0.0169,-1.0074,0,0,0,,,,,
307,0.06,-0.05,0,0.0395,-0.0167,-1.0072,0,0,0,,,,,
309,0.06,-0.05,-0.01,0.0394,-0.0166,-1.0072,0,0,0,,,,,
311,0.07,-0.06,0,0.0393,-0.0166,-1.0071,0,0,0,,,,,
313,0.07,-0.06,-0.01,0.0392,-0.0166,-1.0069,0,0,0,,,,,
315,0.07,-0.06,-0.01,0.0392,-0.0164,-1.0072,0,0,0,,,,,
318,0.07,-0.06,-0.01,0.0391,-0.0165,-1.0072,0,0,0,,,,,
320,0.06,-0.06,0,0.039,-0.0166,-1.0072,0,0,0,,,,,
322,0.06,-0.05,0,0.0388,-0.0166,-1.0072,0,0,0,,,,,
324,0.05,-0.04,0,0.0388,-0.0165,-1.0071,0,0,0,,,,,
326,0.05,-0.04,0.01,0.0387,-0.0165,-1.0069,0,0,0,,,,,
328,0.04,-0.02,0.01,0.0387,-0.0164,-1.0066,0,0,0,,,,,
330,0.04,-0.02,0.01,0.0385,-0.0163,-1.0064,0,0,0,,,,,
332,0.03,-0.01,0.01,0.0385,-0.0162,-1.0062,0,0,0,,,,,
334,0.03,0,0,0.0385,-0.0161,-1.0061,0,0,0,,,,,
336,0.02,0.01,0,0.0385,-0.0162,-1.0059,0,0,0,,,,,
338,0.02,0.01,0.01,0.0385,-0.0162,-1.0059,0,0,0,,,,,
340,0.03,0.01,0,0.0386,-0.0163,-1.0058,0,0,0,,,,,
342,0.02,0.01,0,0.0387,-0.0164,-1.0057,0,0,0,,,,,
344,0.02,0.02,0,0.0387,-0.0164,-1.0057,0,0,0,,,,,
346,0.03,0.03,0,0.0386,-0.0165,-1.0055,0,0,0,,,,,
348,0.02,0.03,0,0.0384,-0.0165,-1.0054,0,0,0,,,,,
351,0.02,0.04,0,0.0385,-0.0165,-1.0053,0,0,0,,,,,
353,0.03,0.04,0,0.0385,-0.0165,-1.0052,0,0,0,,,,,
355,0.03,0.04,-0.01,0.0384,-0.0165,-1.005,0,0,0,,,,,
357,0.04,0.04,-0.02,0.0385,-0.0164,-1.0053,0,0,0,,,,,
359,0.04,0.04,-0.02,0.0385,-0.0163,-1.0053,0,0,0,,,,,
361,0.04,0.03,-0.02,0.0385,-0.0164,-1.0051,0,0,0,,,,,
363,0.04,0.03,-0.02,0.0385,-0.0165,-1.0054,0,0,0,,,,,
365,0.04,0.02,-0.01,0.0385,-0.0165,-1.0055,0,0,0,,,,,
367,0.04,0.02,0,0.0385,-0.0167,-1.0056,0,0,0,,,,,
369,0.05,0.02,0,0.0385,-0.0168,-1.0057,0,0,0,,,,,
371,0.04,0.02,0,0.0385,-0.0169,-1.0057,0,0,0,,,,,
373,0.05,0.02,0,0.0383,-0.0169,-1.0059,0,0,0,,,,,
375,0.04,0.02,0,0.0382,-0.0168,-1.0062,0,0,0,,,,,
377,0.04,0.02,0,0.0383,-0.0168,-1.0062,0,0,0,,,,,
379,0.05,0.02,0,0.0382,-0.0166,-1.0061,0,0,0,,,,,
381,0.05,0.01,0,0.0382,-0.0164,-1.006,0,0,0,,,,,
384,0.04,0.01,0,0.0382,-0.0162,-1.0061,0,0,0,,,,,
386,0.04,0,-0.01,0.0382,-0.0162,-1.0062,0,0,0,,,,,
388,0.04,0,0,0.0382,-0.0163,-1.006,0,0,0,,,,,
390,0.04,0,0,0.0383,-0.0164,-1.0062,0,0,0,,,,,
392,0.03,0,0,0.0385,-0.0164,-1.0064,0,0,0,,,,,
394,0.03,-0.01,0,0.0387,-0.0164,-1.0062,0,0,0,,,,,
396,0.03,0,0,0.0387,-0.0164,-1.0061,0,0,0,,,,,
398,0.03,0,0,0.0387,-0.0164,-1.0062,0,0,0,,,,,
400,0.03,0,0,0.0388,-0.0164,-1.0063,0,0,0,,,,,
402,0.03,0,0,0.0388,-0.0162,-1.0065,0,0,0,,,,,
404,0.03,0,0,0.0389,-0.0161,-1.0065,0,0,0,,,,,
406,0.03,0,0,0.039,-0.0161,-1.0062,0,0,0,,,,,
408,0.03,0.01,0,0.0391,-0.016,-1.0063,0,0,0,,,,,
410,0.03,0.01,0,0.0392,-0.0161,-1.0063,0,0,0,,,,,
412,0.03,0.01,0.01,0.0391,-0.0162,-1.0064,0,0,0,,,,,
416,0.04,0.01,0.02,0.0392,-0.0163,-1.0064,0,0,0,,,,,
419,0.04,0.01,0.02,0.0392,-0.0164,-1.0065,0,0,0,,,,,
421,0.04,0.01,0.02,0.0393,-0.0164,-1.0066,0,0,0,,,,,
423,0.04,0.02,0.02,0.0392,-0.0164,-1.0066,0,0,0,,,,,
425,0.04,0.02,0.02,0.039,-0.0164,-1.0066,0,0,0,,,,,
427,0.04,0.02,0.03,0.0389,-0.0164,-1.0067,0,0,0,,,,,
429,0.04,0.03,0.02,0.0389,-0.0163,-1.0066,0,0,0,,,,,
431,0.04,0.03,0.02,0.0389,-0.0162,-1.0069,0,0,0,,,,,
433,0.04,0.02,0.02,0.0388,-0.0161,-1.0067,0,0,0,,,,,
435,0.04,0.03,0.02,0.0388,-0.0161,-1.0069,0,0,0,,,,,
437,0.04,0.03,0.02,0.0388,-0.0162,-1.0067,0,0,0,,,,,
439,0.04,0.02,0.02,0.0388,-0.0161,-1.0064,0,0,0,,,,,
441,0.04,0.02,0.02,0.0388,-0.0162,-1.0065,0,0,0,,,,,
